Código,Produto,Categoria,Valor
953,SJ - BALÃO PLASTICO GG,DECORAÇÃO,"R$0,00"
952,SJ - BALÃO PLASTICO M BRASIL,DECORAÇÃO,"R$0,00"
662,STAIN,PINTURA,"R$20,00"
780,SUCO ACEROLA,XCafé da Manhã,"R$0,00"
827,SUCO CAJÁ,XCafé da Manhã,"R$0,00"
781,SUCO CAJÚ,XCafé da Manhã,"R$0,00"
98,SUCO DE ACEROLA C/ LEITE,SUCO COM LEITE,"R$11,00"
99,SUCO DE ACEROLA S/ LEITE,SUCOS SEM LEITE,"R$10,00"
125,SUCO DE CAJU S/LEITE,SUCOS SEM LEITE,"R$10,00"
127,SUCO DE CAJU C/LEITE,SUCO COM LEITE,"R$11,00"
100,SUCO DE CAJÁ C/ LEITE,SUCO COM LEITE,"R$11,00"
101,SUCO DE CAJÁ S/ LEITE,SUCOS SEM LEITE,"R$10,00"
579,SUCO DE FRUTA - MORANGO C/ LEITE,SUCO COM LEITE,"R$12,00"
578,SUCO DE FRUTA - MORANGO S/ LEITE,SUCOS SEM LEITE,"R$11,00"
128,SUCO DE GOIABA C/LEITE,SUCO COM LEITE,"R$11,00"
126,SUCO DE GOIABA S/LEITE,SUCOS SEM LEITE,"R$10,00"
102,SUCO DE GRAVIOLA C/ LEITE,SUCO COM LEITE,"R$11,00"
103,SUCO DE GRAVIOLA S/ LEITE,SUCOS SEM LEITE,"R$10,00"
104,SUCO DE MARACUJÁ C/ LEITE,SUCO COM LEITE,"R$11,00"
105,SUCO DE MARACUJÁ S/ LEITE,SUCOS SEM LEITE,"R$10,00"
107,SUCO DE MORANGO C/ LEITE,SUCO COM LEITE,"R$11,00"
108,SUCO DE MORANGO S/ LEITE,SUCOS SEM LEITE,"R$10,00"
828,SUCO GOIABA,XCafé da Manhã,"R$0,00"
829,SUCO GRAVIOLA,XCafé da Manhã,"R$0,00"
106,SUCO LIMÃO,SUCOS SEM LEITE,"R$10,00"
830,SUCO MELANCIA,XCafé da Manhã,"R$0,00"
500,Sabao pedra - unid,LIMPEZA,"R$2,40"
501,Sabao po,LIMPEZA,"R$3,00"
502,Sabonete Liquido-5l,LIMPEZA,"R$20,00"
489,Sache Sabonete - 50,LIMPEZA,"R$20,00"
490,Sache Shampoo - 50,LIMPEZA,"R$24,00"
343,Sachê-Açúcar (100),DISPENSA,"R$6,00"
344,Sachê-Geléia(12),DISPENSA,"R$13,00"
345,Sachê-Mel(12),DISPENSA,"R$14,00"
705,Sachê-Pimenta(50),DISPENSA,"R$8,00"
630,Sachê-Sal (100),DISPENSA,"R$1,60"
461,Saco Talher,DESCARTAVEL,"R$2,00"
96,Saco de gelo,DIVERSOS,"R$15,00"
222,Saco de gelo Recepção,Não Informado,"R$15,00"
503,Saco lixo 100L -unid,LIMPEZA,"R$0,35"
504,Saco lixo 15L- pac,LIMPEZA,"R$7,00"
378,Sal mineral,ANIMAIS,"R$1,05"
762,Salsicha acebolada,XCafé da Manhã,"R$0,00"
809,Salsicha com molho,XCafé da Manhã,"R$0,00"
347,Sardinha,DISPENSA,"R$4,00"
745,Sardinha,DISPENSA,"R$4,00"
506,Silicone - 500ml,LIMPEZA,"R$10,00"
462,Sobremesa Colher,DESCARTAVEL,"R$2,15"
463,Sobremesa Garfo,DESCARTAVEL,"R$2,40"
472,Solução Cloro - A,PISCINA,"R$7,50"
473,Solução Indicador,PISCINA,"R$7,50"
474,Solução PH - V,PISCINA,"R$7,50"
475,Solução Titulante,PISCINA,"R$7,50"
776,Strogonoff Carne,xExecutivo,"R$41,90"
775,Strogonoff Frango,xExecutivo,"R$32,90"
661,Suporte Refrigerante,Utensilios Cozinha,"R$10,00"
882,TAXA DE ROLHA,XJANTAR,"R$30,00"
